10;0,000000
20;0,000001
30;0,000002
40;0,000002
50;0,000003
60;0,000004
70;0,000005
80;0,000007
90;0,000007
100;0,000008
110;0,000010
120;0,000010
130;0,000011
140;0,000019
150;0,000013
160;0,000014
170;0,000015
180;0,000016
190;0,000017
200;0,000019
210;0,000021
220;0,000021
230;0,000022
240;0,000023
250;0,000024
260;0,000025
270;0,000027
280;0,000028
290;0,000030
300;0,000030
310;0,000031
320;0,000032
330;0,000034
340;0,000035
350;0,000037
360;0,000038
370;0,000039
380;0,000041
390;0,000042
400;0,000043
410;0,000048
420;0,000045
430;0,000048
440;0,000049
450;0,000049
460;0,000050
470;0,000055
480;0,000055
490;0,000075
500;0,000056
510;0,000059
520;0,000059
530;0,000062
540;0,000062
550;0,000063
560;0,000064
570;0,000065
580;0,000069
590;0,000068
600;0,000069
610;0,000070
620;0,000074
630;0,000073
640;0,000078
650;0,000076
660;0,000081
670;0,000079
680;0,000102
690;0,000081
700;0,000083
710;0,000088
720;0,000090
730;0,000087
740;0,000088
750;0,000090
760;0,000091
770;0,000092
780;0,000094
790;0,000100
800;0,000097
810;0,000103
820;0,000100
830;0,000107
840;0,000103
850;0,000105
860;0,000106
870;0,000108
880;0,000108
890;0,000110
900;0,000112
910;0,000113
920;0,000114
930;0,000116
940;0,000117
950;0,000119
960;0,000121
970;0,000122
980;0,000123
990;0,000126
