10;0,000001
20;0,000003
30;0,000004
40;0,000007
50;0,000010
60;0,000013
70;0,000016
80;0,000019
90;0,000022
100;0,000020
110;0,000022
120;0,000025
130;0,000033
140;0,000045
150;0,000036
160;0,000036
170;0,000039
180;0,000041
190;0,000045
200;0,000048
210;0,000051
220;0,000054
230;0,000056
240;0,000060
250;0,000091
260;0,000067
270;0,000070
280;0,000073
290;0,000082
300;0,000079
310;0,000084
320;0,000087
330;0,000091
340;0,000094
350;0,000097
360;0,000100
370;0,000105
380;0,000110
390;0,000114
400;0,000115
410;0,000119
420;0,000123
430;0,000125
440;0,000129
450;0,000132
460;0,000140
470;0,000143
480;0,000147
490;0,000158
500;0,000153
510;0,000159
520;0,000161
530;0,000164
540;0,000169
550;0,000174
560;0,000175
570;0,000183
580;0,000186
590;0,000192
600;0,000195
610;0,000199
620;0,000202
630;0,000213
640;0,000214
650;0,000216
660;0,000219
670;0,000222
680;0,000228
690;0,000228
700;0,000235
710;0,000244
720;0,000242
730;0,000250
740;0,000256
750;0,000262
760;0,000263
770;0,000268
780;0,000266
790;0,000273
800;0,000281
810;0,000280
820;0,000285
830;0,000297
840;0,000292
850;0,000294
860;0,000297
870;0,000304
880;0,000314
890;0,000316
900;0,000318
910;0,000322
920;0,000331
930;0,000340
940;0,000346
950;0,000342
960;0,000347
970;0,000348
980;0,000352
990;0,000357
